,combination_name,drug_name_1,drug_name_2,snomed_reaction,meddra_preferred_term_name,meddra_high_level_term,meddra_high_level_term_name,total_cases_md_snomed_drugs,total_cases_md_drugs,relative_frequency_md (y_obs),total_cases_sd_snomed_drug1,total_cases_sd_drug_1,total_cases_sd_snomed_drug2,total_cases_sd_drug_2,bliss_independence (y_pred),bliss_ratio,chi2_obs,chi2_exp,chi2_ratio,chi2,p
18574,ambrisentan & selexipag,ambrisentan,selexipag,34095006,Dehydration,Total fluid volume decreased,Metabolism and nutrition disorders,10,2479,0.00403,11,2956,19,3749,0.00877,0.45952,0.004050222762251924,0.0044943820224719105,0.9011745646010529,0.011242142589359341,0.9155593665892159
18575,macitentan & selexipag,macitentan,selexipag,34095006,Dehydration,Total fluid volume decreased,Metabolism and nutrition disorders,27,5362,0.00504,40,10192,19,3749,0.00897,0.56187,0.005060918462980318,0.004250108053594583,1.1907740695439455,0.3968606318520777,0.528715027192556
18577,epoprostenol & bosentan,epoprostenol,bosentan,34095006,Dehydration,Total fluid volume decreased,Metabolism and nutrition disorders,10,1036,0.00965,34,7134,33,6235,0.01003,0.96211,0.009746588693957114,0.005036836565929935,1.9350615344330977,3.07098528438173,0.07970115268853942
18590,ambrisentan & selexipag,ambrisentan,selexipag,56265001,Cardiac disorder,Cardiac disorders NEC,Cardiac disorders,9,2479,0.00363,7,2956,11,3749,0.00529,0.6862,0.0036437246963562753,0.0026917900403768506,1.3536437246963562,0.2768904347898384,0.5987466169244197
18591,macitentan & selexipag,macitentan,selexipag,56265001,Cardiac disorder,Cardiac disorders NEC,Cardiac disorders,7,5362,0.00131,37,10192,11,3749,0.00655,0.2,0.00130718954248366,0.0034549773267112936,0.37834967320261437,5.498372189889933,0.019034184201100392
18598,epoprostenol & macitentan,epoprostenol,macitentan,68962001,Myalgia,Muscle pains,Musculoskeletal and connective tissue disorders,21,3473,0.00605,60,7134,30,10192,0.01133,0.53398,0.00608342989571263,0.005221629148294268,1.1650444186944766,0.25150422248973897,0.616017894148859
18603,ambrisentan & selexipag,ambrisentan,selexipag,68962001,Myalgia,Muscle pains,Musculoskeletal and connective tissue disorders,84,2479,0.03388,21,2956,81,3749,0.02856,1.18627,0.03507306889352818,0.015447523852794184,2.270465430431045,30.866499473754725,2.7640212633524455e-08
18606,macitentan & selexipag,macitentan,selexipag,68962001,Myalgia,Muscle pains,Musculoskeletal and connective tissue disorders,119,5362,0.02219,30,10192,81,3749,0.02449,0.90608,0.022696929238985315,0.008026030368763558,2.8279146970735756,65.41213845790894,6.076347378677659e-16
18613,ambrisentan & treprostinil,ambrisentan,treprostinil,68962001,Myalgia,Muscle pains,Musculoskeletal and connective tissue disorders,6,1337,0.00449,21,2956,9,1280,0.01408,0.31889,0.004507888805409466,0.007132667617689016,0.6320060105184072,0.6999481023531156,0.40280113315615973
18614,macitentan & treprostinil,macitentan,treprostinil,68962001,Myalgia,Muscle pains,Musculoskeletal and connective tissue disorders,15,2408,0.00623,30,10192,9,1280,0.00995,0.62613,0.0062682824905975765,0.003411178168459722,1.8375711208974896,3.414326374858481,0.0646327872146436
18615,selexipag & treprostinil,selexipag,treprostinil,68962001,Myalgia,Muscle pains,Musculoskeletal and connective tissue disorders,6,257,0.02335,81,3749,9,1280,0.02849,0.81959,0.02390438247011952,0.01822231220894918,1.3118193891102259,0.15899246625817307,0.6900858273703145
18618,epoprostenol & bosentan,epoprostenol,bosentan,68962001,Myalgia,Muscle pains,Musculoskeletal and connective tissue disorders,10,1036,0.00965,60,7134,12,6235,0.01031,0.93598,0.009746588693957114,0.005414755207941641,1.8000054147714966,2.384877854677364,0.12251446801249166
18620,selexipag & bosentan,selexipag,bosentan,68962001,Myalgia,Muscle pains,Musculoskeletal and connective tissue disorders,16,773,0.0207,81,3749,12,6235,0.02349,0.88123,0.021136063408190225,0.00940248710949348,2.247922614735586,8.169077337051476,0.004261057699668427
18622,treprostinil & bosentan,treprostinil,bosentan,68962001,Myalgia,Muscle pains,Musculoskeletal and connective tissue disorders,6,756,0.00794,9,1280,12,6235,0.00894,0.88814,0.008,0.0028022417934347476,2.854857142857143,4.113472581044561,0.042542924947115535
18626,epoprostenol & macitentan,epoprostenol,macitentan,79890006,Decreased appetite,Appetite disorders,Metabolism and nutrition disorders,45,3473,0.01296,94,7134,83,10192,0.02121,0.61103,0.013127187864644107,0.01032130153361712,1.2718539248066767,1.8073386589750582,0.17882781279508164
18636,ambrisentan & selexipag,ambrisentan,selexipag,79890006,Decreased appetite,Appetite disorders,Metabolism and nutrition disorders,46,2479,0.01856,43,2956,52,3749,0.02822,0.65769,0.018906699547883273,0.014372163388804841,1.3155082527527204,2.023419347203073,0.1548900130052006
18638,macitentan & selexipag,macitentan,selexipag,79890006,Decreased appetite,Appetite disorders,Metabolism and nutrition disorders,78,5362,0.01455,83,10192,52,3749,0.0219,0.66438,0.014761544284632853,0.009778357235984355,1.5096139288417865,7.952835300283547,0.004801210020181551
18650,epoprostenol & treprostinil,epoprostenol,treprostinil,79890006,Decreased appetite,Appetite disorders,Metabolism and nutrition disorders,7,280,0.025,94,7134,21,1280,0.02937,0.85121,0.02564102564102564,0.013857091215809133,1.8503901895206243,1.7628323872643503,0.18427162091000118
18651,ambrisentan & treprostinil,ambrisentan,treprostinil,79890006,Decreased appetite,Appetite disorders,Metabolism and nutrition disorders,12,1337,0.00898,43,2956,21,1280,0.03072,0.29232,0.009056603773584906,0.015340364333652923,0.590377358490566,2.4043101345325257,0.12100145582132245
18653,macitentan & treprostinil,macitentan,treprostinil,79890006,Decreased appetite,Appetite disorders,Metabolism and nutrition disorders,30,2408,0.01246,83,10192,21,1280,0.02442,0.51024,0.012615643397813289,0.009148486980999296,1.3789868667917449,2.054622633283332,0.15174484628558146
18663,epoprostenol & bosentan,epoprostenol,bosentan,79890006,Decreased appetite,Appetite disorders,Metabolism and nutrition disorders,10,1036,0.00965,94,7134,44,6235,0.02015,0.47891,0.009746588693957114,0.010430050638651652,0.9344718478967143,0.0021232943022610287,0.9632471102972276
18666,selexipag & bosentan,selexipag,bosentan,79890006,Decreased appetite,Appetite disorders,Metabolism and nutrition disorders,9,773,0.01164,52,3749,44,6235,0.02083,0.55881,0.011780104712041885,0.009708737864077669,1.2133507853403143,0.13142719651282267,0.7169568381496414
18669,treprostinil & bosentan,treprostinil,bosentan,79890006,Decreased appetite,Appetite disorders,Metabolism and nutrition disorders,9,756,0.0119,21,1280,44,6235,0.02335,0.50964,0.012048192771084338,0.0087248322147651,1.380908248378128,0.4948792238419567,0.48175883008037657
18678,pantoprazole & citalopram,pantoprazole,citalopram,79890006,Decreased appetite,Appetite disorders,Metabolism and nutrition disorders,9,118,0.07627,7,582,18,1550,0.0235,3.24553,0.08256880733944955,0.011865211200759373,6.9588990825688075,27.112277568633324,1.9197483079653143e-07
18683,epoprostenol & ambrisentan,epoprostenol,ambrisentan,83132003,Abdominal pain upper,Gastrointestinal and abdominal pains (excl oral and throat),Gastrointestinal disorders,6,1186,0.00506,46,7134,20,2956,0.01318,0.38392,0.005084745762711864,0.006584197924980048,0.7722650231124807,0.17096246684025565,0.6792578457521721
18684,epoprostenol & macitentan,epoprostenol,macitentan,83132003,Abdominal pain upper,Gastrointestinal and abdominal pains (excl oral and throat),Gastrointestinal disorders,26,3473,0.00749,46,7134,51,10192,0.01142,0.65587,0.007542790832608065,0.005630042370421963,1.3397396211856119,1.4474022581392145,0.22894523995747768
18690,ambrisentan & treprostinil,ambrisentan,treprostinil,83132003,Abdominal pain upper,Gastrointestinal and abdominal pains (excl oral and throat),Gastrointestinal disorders,9,1337,0.00673,20,2956,8,1280,0.01298,0.51849,0.00677710843373494,0.006653992395437262,1.018502581755594,0.0,1.0
18691,macitentan & treprostinil,macitentan,treprostinil,83132003,Abdominal pain upper,Gastrointestinal and abdominal pains (excl oral and throat),Gastrointestinal disorders,24,2408,0.00997,51,10192,8,1280,0.01122,0.88859,0.010067114093959731,0.0051695435030228686,1.9473893754976679,7.000802367549067,0.008147318976317292
18702,treprostinil & bosentan,treprostinil,bosentan,83132003,Abdominal pain upper,Gastrointestinal and abdominal pains (excl oral and throat),Gastrointestinal disorders,6,756,0.00794,8,1280,15,6235,0.00864,0.91898,0.008,0.0030699412706887345,2.605913043478261,3.3827258925458192,0.06588300665099264
18707,epoprostenol & macitentan,epoprostenol,macitentan,131148009,Extravasation blood,Haemorrhages NEC,Vascular disorders,6,3473,0.00173,8,7134,19,10192,0.00298,0.58054,0.0017306028266512836,0.001560783860338748,1.1088036406755761,0.0,1.0
18726,epoprostenol & ambrisentan,epoprostenol,ambrisentan,271594007,Syncope,Disturbances in consciousness NEC,Nervous system disorders,7,1186,0.0059,25,7134,34,2956,0.01496,0.39439,0.005937234944868533,0.005881766523776293,1.009430571728411,0.0,1.0
18728,ambrisentan & selexipag,ambrisentan,selexipag,271594007,Syncope,Disturbances in consciousness NEC,Nervous system disorders,15,2479,0.00605,34,2956,20,3749,0.01677,0.36076,0.006087662337662338,0.008119079837618403,0.749797077922078,0.7235762955630989,0.3949733190623248
18729,macitentan & selexipag,macitentan,selexipag,271594007,Syncope,Disturbances in consciousness NEC,Nervous system disorders,37,5362,0.0069,86,10192,20,3749,0.01373,0.50255,0.006948356807511737,0.0076617275027105166,0.9068916644521215,0.17348342075551407,0.6770343566677965
18737,epoprostenol & bosentan,epoprostenol,bosentan,271594007,Syncope,Disturbances in consciousness NEC,Nervous system disorders,9,1036,0.00869,25,7134,81,6235,0.01644,0.52859,0.008763388510223954,0.007992158636809169,1.0964983189726443,0.0069025596335906565,0.9337866210398742
18742,selexipag & bosentan,selexipag,bosentan,271594007,Syncope,Disturbances in consciousness NEC,Nervous system disorders,6,773,0.00776,20,3749,81,6235,0.01825,0.42521,0.007822685788787484,0.010219568956794496,0.7654614222830367,0.20010077053231146,0.6546395192461175
18784,epoprostenol & macitentan,epoprostenol,macitentan,427461000,Presyncope,Neurological signs and symptoms NEC,Nervous system disorders,10,3473,0.00288,19,7134,27,10192,0.0053,0.5434,0.0028876696505919725,0.002662037037037037,1.0847593817875931,0.0028642000470082496,0.9573190126884024
18803,ambrisentan & selexipag,ambrisentan,selexipag,3424008,Heart rate increased,Heart rate and pulse investigations,Investigations,10,2479,0.00403,15,2956,26,3749,0.01197,0.33668,0.004050222762251924,0.006152460984393758,0.6583093777474834,1.0674033919491717,0.3015326954420389
18804,macitentan & selexipag,macitentan,selexipag,3424008,Heart rate increased,Heart rate and pulse investigations,Investigations,30,5362,0.00559,61,10192,26,3749,0.01289,0.43367,0.005626406601650412,0.006279774794283239,0.8959567478076416,0.17151006620202477,0.6787732363932311
18811,ambrisentan & treprostinil,ambrisentan,treprostinil,3424008,Heart rate increased,Heart rate and pulse investigations,Investigations,6,1337,0.00449,15,2956,12,1280,0.01439,0.31202,0.004507888805409466,0.006414825374198147,0.7027297771099423,0.3356195565012274,0.5623686765700291
18812,macitentan & treprostinil,macitentan,treprostinil,3424008,Heart rate increased,Heart rate and pulse investigations,Investigations,15,2408,0.00623,61,10192,12,1280,0.0153,0.40719,0.0062682824905975765,0.006404070532502851,0.9787966042509831,0.0,1.0
18815,epoprostenol & bosentan,epoprostenol,bosentan,3424008,Heart rate increased,Heart rate and pulse investigations,Investigations,7,1036,0.00676,53,7134,48,6235,0.01507,0.44857,0.006802721088435374,0.007612300271329514,0.8936485485283222,0.009986657753795654,0.920397305686604
18821,treprostinil & bosentan,treprostinil,bosentan,3424008,Heart rate increased,Heart rate and pulse investigations,Investigations,8,756,0.01058,12,1280,48,6235,0.017,0.62235,0.0106951871657754,0.008048289738430584,1.3288770053475933,0.2946066989336017,0.5872834605392274
18855,ambrisentan & treprostinil,ambrisentan,treprostinil,14760008,Constipation,Gastrointestinal atonic and hypomotility disorders NEC,Gastrointestinal disorders,13,1337,0.00972,16,2956,6,1280,0.01007,0.96524,0.009818731117824773,0.005220692928334125,1.880733315023345,2.654715980353852,0.10324319603043576
18856,macitentan & treprostinil,macitentan,treprostinil,14760008,Constipation,Gastrointestinal atonic and hypomotility disorders NEC,Gastrointestinal disorders,10,2408,0.00415,51,10192,6,1280,0.00967,0.42916,0.004170141784820684,0.004993429697766097,0.8351257626969842,0.13205580097110844,0.7163099648021112
18907,epoprostenol & macitentan,epoprostenol,macitentan,22325002,Gait disturbance,Gait disturbances,General disorders and administration site conditions,11,3473,0.00317,14,7134,41,10192,0.00597,0.53099,0.0031773541305603697,0.003184528979213711,0.9977469670710571,0.0,1.0
18926,epoprostenol & macitentan,epoprostenol,macitentan,22391002,Complication associated with device,Complications associated with device NEC,General disorders and administration site conditions,10,3473,0.00288,11,7134,7,10192,0.00223,1.29148,0.0028876696505919725,0.0010399815114397967,2.776654795135881,5.9845070510126765,0.014432075509523147
18947,epoprostenol & ambrisentan,epoprostenol,ambrisentan,31871009,Device related infection,Infections NEC,Infections and infestations,10,1186,0.00843,56,7134,6,2956,0.00986,0.85497,0.008503401360544218,0.006182688472277623,1.3753565942506036,0.5515603874391388,0.45768082072653193
18948,epoprostenol & macitentan,epoprostenol,macitentan,31871009,Device related infection,Infections NEC,Infections and infestations,19,3473,0.00547,56,7134,7,10192,0.00853,0.64127,0.0055008685581933985,0.0036494236227770376,1.5073253003189309,2.034508720622357,0.15376385982486582
18956,epoprostenol & macitentan,epoprostenol,macitentan,36971009,Sinusitis,Upper respiratory tract infections,Infections and infestations,17,3473,0.00489,23,7134,35,10192,0.00664,0.73645,0.004918981481481482,0.003358813991197591,1.464499521072797,1.521264755222129,0.21742819837333652
18965,epoprostenol & macitentan,epoprostenol,macitentan,37796009,Migraine,Migraine headaches,Nervous system disorders,10,3473,0.00288,20,7134,11,10192,0.00388,0.74227,0.0028876696505919725,0.0017924255565192253,1.6110402131286503,1.2373963012203586,0.26597344073364304
18968,ambrisentan & selexipag,ambrisentan,selexipag,37796009,Migraine,Migraine headaches,Nervous system disorders,20,2479,0.00807,13,2956,13,3749,0.00785,1.02803,0.008133387555917039,0.003892798323102261,2.0893421340757654,5.562827480273919,0.018345761066984857
18969,macitentan & selexipag,macitentan,selexipag,37796009,Migraine,Migraine headaches,Nervous system disorders,19,5362,0.00354,11,10192,13,3749,0.00455,0.77802,0.003556054650945162,0.0017245095925846087,2.0620671907168258,4.992655079803129,0.025455122293262376
19013,epoprostenol & macitentan,epoprostenol,macitentan,42343007,Cardiac failure congestive,Heart failures NEC,Cardiac disorders,13,3473,0.00374,19,7134,80,10192,0.01049,0.35653,0.0037572254335260114,0.00574679282521623,0.6537951772055818,1.7462002731531587,0.18635512487692205
19049,epoprostenol & selexipag,epoprostenol,selexipag,45007003,Blood pressure decreased,Vascular tests NEC (incl blood pressure),Investigations,7,208,0.03365,85,7134,59,3749,0.02746,1.22542,0.03482587064676617,0.013409069745786387,2.597187672747374,4.909091062760907,0.026715696070322436
19051,ambrisentan & selexipag,ambrisentan,selexipag,45007003,Blood pressure decreased,Vascular tests NEC (incl blood pressure),Investigations,30,2479,0.0121,45,2956,59,3749,0.03072,0.39388,0.012249897917517355,0.0157551886077867,0.7775151553224237,1.2355065895093384,0.2663388042186317
19053,macitentan & selexipag,macitentan,selexipag,45007003,Blood pressure decreased,Vascular tests NEC (incl blood pressure),Investigations,75,5362,0.01399,158,10192,59,3749,0.031,0.45129,0.01418573860412332,0.01581171670067036,0.8971662516266748,0.545875624304337,0.46000782600568413
19063,ambrisentan & treprostinil,ambrisentan,treprostinil,45007003,Blood pressure decreased,Vascular tests NEC (incl blood pressure),Investigations,17,1337,0.01272,45,2956,25,1280,0.03445,0.36923,0.012878787878787878,0.016802688430148822,0.7664718614718615,0.7280304180883393,0.3935223525443511
19064,macitentan & treprostinil,macitentan,treprostinil,45007003,Blood pressure decreased,Vascular tests NEC (incl blood pressure),Investigations,40,2408,0.01661,158,10192,25,1280,0.03473,0.47826,0.016891891891891893,0.016210470369386127,1.042035888347364,0.02097702071873393,0.8848415741622316
19071,epoprostenol & bosentan,epoprostenol,bosentan,45007003,Blood pressure decreased,Vascular tests NEC (incl blood pressure),Investigations,13,1036,0.01255,85,7134,90,6235,0.02617,0.47956,0.01270772238514174,0.013263604668788844,0.9580896522832008,3.513805545562409e-05,0.9952703785711867
19077,selexipag & bosentan,selexipag,bosentan,45007003,Blood pressure decreased,Vascular tests NEC (incl blood pressure),Investigations,8,773,0.01035,59,3749,90,6235,0.02994,0.34569,0.01045751633986928,0.015149974580579562,0.6902662631047944,0.7500901113167877,0.3864477024962818
19080,treprostinil & bosentan,treprostinil,bosentan,45007003,Blood pressure decreased,Vascular tests NEC (incl blood pressure),Investigations,13,756,0.0172,25,1280,90,6235,0.03368,0.51069,0.017496635262449527,0.015540540540540541,1.125870442975013,0.061201661000199165,0.8046066488808526
19095,epoprostenol & bosentan,epoprostenol,bosentan,45352006,Muscle spasms,Muscle related signs and symptoms NEC,Musculoskeletal and connective tissue disorders,8,1036,0.00772,23,7134,18,6235,0.0061,1.26557,0.007782101167315175,0.003076230492196879,2.5297523014140646,4.849896848737119,0.0276477855973197
19122,epoprostenol & macitentan,epoprostenol,macitentan,56018004,Wheezing,Bronchospasm and obstruction,"Respiratory, thoracic and mediastinal disorders",8,3473,0.0023,11,7134,31,10192,0.00458,0.50218,0.002308802308802309,0.002429993057162694,0.9501271215556929,0.0,1.0
19132,epoprostenol & macitentan,epoprostenol,macitentan,66857006,Haemoptysis,Coughing and associated symptoms,"Respiratory, thoracic and mediastinal disorders",7,3473,0.00202,14,7134,15,10192,0.00343,0.58892,0.002019619157530294,0.001676591316413251,1.2045983644069482,0.04778639253267082,0.8269608820720667
19137,epoprostenol & macitentan,epoprostenol,macitentan,68566005,Urinary tract infection,Urinary tract infections,Infections and infestations,8,3473,0.0023,26,7134,65,10192,0.01,0.23,0.002308802308802309,0.005279953582825646,0.4372770087055801,4.705994164751571,0.030057612683699945
19209,macitentan & selexipag,macitentan,selexipag,82271004,Head injury,Site specific injuries NEC,"Injury, poisoning and procedural complications",7,5362,0.00131,14,10192,7,3749,0.00324,0.40432,0.00130718954248366,0.0015086206896551724,0.8664799253034546,0.013764112881697323,0.906606036111417
19229,macitentan & selexipag,macitentan,selexipag,90673000,Burning sensation,Paraesthesias and dysaesthesias,Nervous system disorders,6,5362,0.00112,10,10192,6,3749,0.00258,0.43411,0.0011202389843166542,0.001149012567324955,0.9749579910380881,0.0,1.0
19244,epoprostenol & macitentan,epoprostenol,macitentan,91302008,Sepsis,"Sepsis, bacteraemia, viraemia and fungaemia NEC",Infections and infestations,9,3473,0.00259,29,7134,38,10192,0.00778,0.3329,0.002598152424942263,0.003882032562720899,0.6692763089862466,0.9663916609600613,0.3255817398945636
19257,epoprostenol & macitentan,epoprostenol,macitentan,95891005,Influenza like illness,General signs and symptoms NEC,General disorders and administration site conditions,9,3473,0.00259,16,7134,26,10192,0.00478,0.54184,0.002598152424942263,0.002429993057162694,1.0692015836357636,0.0,1.0
19260,ambrisentan & selexipag,ambrisentan,selexipag,95891005,Influenza like illness,General signs and symptoms NEC,General disorders and administration site conditions,12,2479,0.00484,7,2956,12,3749,0.00556,0.8705,0.004864207539521687,0.0028417588991923423,1.7116890320653682,1.611463809836812,0.20428615758197255
19261,macitentan & selexipag,macitentan,selexipag,95891005,Influenza like illness,General signs and symptoms NEC,General disorders and administration site conditions,26,5362,0.00485,26,10192,12,3749,0.00574,0.84495,0.004872563718140929,0.002733223045385888,1.7827171940345616,4.6596693288643065,0.030879137841110783
19320,ambrisentan & selexipag,ambrisentan,selexipag,233604007,Pneumonia,Lower respiratory tract and lung infections,Infections and infestations,16,2479,0.00645,29,2956,31,3749,0.018,0.35833,0.006496142915144133,0.009029345372460496,0.7194478278522128,1.084973446656744,0.29758762024297863
19322,macitentan & selexipag,macitentan,selexipag,233604007,Pneumonia,Lower respiratory tract and lung infections,Infections and infestations,67,5362,0.0125,155,10192,31,3749,0.02335,0.53533,0.012653446647780925,0.013522355507088331,0.9357427883883151,0.15412065659516125,0.6946282081609803
19335,ambrisentan & treprostinil,ambrisentan,treprostinil,233604007,Pneumonia,Lower respiratory tract and lung infections,Infections and infestations,8,1337,0.00598,29,2956,6,1280,0.01445,0.41384,0.006019563581640331,0.008331349678647942,0.7225196173277436,0.4238498520489335,0.5150222672944885
19336,macitentan & treprostinil,macitentan,treprostinil,233604007,Pneumonia,Lower respiratory tract and lung infections,Infections and infestations,23,2408,0.00955,155,10192,6,1280,0.01983,0.48159,0.009643605870020965,0.014233931571037044,0.677508235998802,2.724280699869437,0.09883263767665587
19343,epoprostenol & bosentan,epoprostenol,bosentan,233604007,Pneumonia,Lower respiratory tract and lung infections,Infections and infestations,11,1036,0.01062,70,7134,105,6235,0.02648,0.40106,0.010731707317073172,0.013263604668788844,0.8091094076655053,0.2874999510795972,0.5918270925901805
19348,selexipag & bosentan,selexipag,bosentan,233604007,Pneumonia,Lower respiratory tract and lung infections,Infections and infestations,9,773,0.01164,31,3749,105,6235,0.02497,0.46616,0.011780104712041885,0.01380991064175467,0.8530181706190331,0.08866286792141977,0.765883974259978
19366,epoprostenol & ambrisentan,epoprostenol,ambrisentan,247441003,Erythema,Erythemas,Skin and subcutaneous tissue disorders,7,1186,0.0059,41,7134,8,2956,0.00844,0.69905,0.005937234944868533,0.004879992032666069,1.2166484914576519,0.0709451434171739,0.7899655909920904
19367,epoprostenol & macitentan,epoprostenol,macitentan,247441003,Erythema,Erythemas,Skin and subcutaneous tissue disorders,27,3473,0.00777,41,7134,22,10192,0.0079,0.98354,0.00783517121300058,0.0036494236227770376,2.146961280159191,10.558235479745603,0.0011567156303313542
19392,macitentan & selexipag,macitentan,selexipag,266464001,Rectal haemorrhage,Intestinal haemorrhages,Gastrointestinal disorders,7,5362,0.00131,9,10192,6,3749,0.00248,0.52823,0.00130718954248366,0.001077121930202499,1.21359477124183,0.03429344357431968,0.8530840199609875
19451,epoprostenol & macitentan,epoprostenol,macitentan,279069000,Musculoskeletal pain,Musculoskeletal and connective tissue pain and discomfort,Musculoskeletal and connective tissue disorders,10,3473,0.00288,29,7134,19,10192,0.00592,0.48649,0.0028876696505919725,0.0027780993170505846,1.0394407546443354,0.0,1.0
19455,ambrisentan & selexipag,ambrisentan,selexipag,279069000,Musculoskeletal pain,Musculoskeletal and connective tissue pain and discomfort,Musculoskeletal and connective tissue disorders,21,2479,0.00847,10,2956,16,3749,0.00764,1.10864,0.00854353132628153,0.003892798323102261,2.1947017587782436,6.625334947389618,0.010053823475323808
19456,macitentan & selexipag,macitentan,selexipag,279069000,Musculoskeletal pain,Musculoskeletal and connective tissue pain and discomfort,Musculoskeletal and connective tissue disorders,31,5362,0.00578,19,10192,16,3749,0.00612,0.94444,0.005815044081785781,0.0025168991802099814,2.310400085751802,11.21765484460045,0.0008102281737947961
19462,epoprostenol & bosentan,epoprostenol,bosentan,279069000,Musculoskeletal pain,Musculoskeletal and connective tissue pain and discomfort,Musculoskeletal and connective tissue disorders,6,1036,0.00579,29,7134,12,6235,0.00598,0.96823,0.005825242718446602,0.003076230492196879,1.893630120767227,1.4370532075239568,0.2306167913660565
19468,epoprostenol & macitentan,epoprostenol,macitentan,286933003,Confusional state,Confusion and disorientation,Psychiatric disorders,7,3473,0.00202,12,7134,31,10192,0.00471,0.42887,0.002019619157530294,0.002487993982526182,0.811745997665025,0.10387968316810241,0.7472226208226762
19485,epoprostenol & macitentan,epoprostenol,macitentan,312230002,Hyperhidrosis,Apocrine and eccrine gland disorders,Skin and subcutaneous tissue disorders,7,3473,0.00202,18,7134,9,10192,0.0034,0.59412,0.002019619157530294,0.001560783860338748,1.2939774743006132,0.14335230229635387,0.7049708548737368
19490,epoprostenol & bosentan,epoprostenol,bosentan,312230002,Hyperhidrosis,Apocrine and eccrine gland disorders,Skin and subcutaneous tissue disorders,6,1036,0.00579,18,7134,7,6235,0.00364,1.59066,0.005825242718446602,0.0018735011990407674,3.1092815533980582,5.180469412420945,0.02284215201276885
19497,epoprostenol & macitentan,epoprostenol,macitentan,367363000,Right ventricular failure,Right ventricular failures,Cardiac disorders,16,3473,0.00461,43,7134,41,10192,0.01003,0.45962,0.0046282904252241824,0.004871824614313885,0.9500117084728018,0.0028297380625812024,0.9575763144474649
19503,macitentan & selexipag,macitentan,selexipag,367363000,Right ventricular failure,Right ventricular failures,Cardiac disorders,21,5362,0.00392,41,10192,12,3749,0.00721,0.54369,0.003931847968545216,0.0038162442396313364,1.030292539380301,0.0,1.0
19505,macitentan & treprostinil,macitentan,treprostinil,367363000,Right ventricular failure,Right ventricular failures,Cardiac disorders,6,2408,0.00249,41,10192,7,1280,0.00947,0.26294,0.002497918401332223,0.004201680672268907,0.5945045795170691,1.06667354382754,0.301698024075554
19508,epoprostenol & bosentan,epoprostenol,bosentan,367363000,Right ventricular failure,Right ventricular failures,Cardiac disorders,9,1036,0.00869,43,7134,19,6235,0.00906,0.95916,0.008763388510223954,0.004659201923799504,1.880877595250809,2.442343393489105,0.11809967781992278
19525,epoprostenol & ambrisentan,epoprostenol,ambrisentan,386661006,Pyrexia,Febrile disorders,General disorders and administration site conditions,9,1186,0.00759,63,7134,25,2956,0.01722,0.44077,0.0076465590484282074,0.008798240351929614,0.8691009500270332,0.054507326953896304,0.8153979821749774
19537,ambrisentan & treprostinil,ambrisentan,treprostinil,386661006,Pyrexia,Febrile disorders,General disorders and administration site conditions,12,1337,0.00898,25,2956,7,1280,0.01388,0.64697,0.009056603773584906,0.007611798287345386,1.189811320754717,0.11197512795845299,0.7379065889753968
19538,macitentan & treprostinil,macitentan,treprostinil,386661006,Pyrexia,Febrile disorders,General disorders and administration site conditions,17,2408,0.00706,109,10192,7,1280,0.0161,0.43851,0.007109995817649519,0.010214864388869321,0.6960440733209304,1.6447962383763763,0.19966867329049182
19541,epoprostenol & bosentan,epoprostenol,bosentan,386661006,Pyrexia,Febrile disorders,General disorders and administration site conditions,9,1036,0.00869,63,7134,76,6235,0.02091,0.41559,0.008763388510223954,0.010506424792139079,0.8340980574839058,0.13387685024966958,0.7144457736354012
19547,treprostinil & bosentan,treprostinil,bosentan,386661006,Pyrexia,Febrile disorders,General disorders and administration site conditions,7,756,0.00926,7,1280,76,6235,0.01759,0.52644,0.009345794392523364,0.011167922497308934,0.8368426978943813,0.07135853038540223,0.7893689352222822
19549,epoprostenol & macitentan,epoprostenol,macitentan,386807006,Memory impairment,Memory loss (excl dementia),Nervous system disorders,7,3473,0.00202,7,7134,29,10192,0.00383,0.52742,0.002019619157530294,0.0020821283979178718,0.9699782009360773,0.0,1.0
19572,epoprostenol & macitentan,epoprostenol,macitentan,389086002,Hypoxia,Conditions associated with abnormal gas exchange,"Respiratory, thoracic and mediastinal disorders",20,3473,0.00576,31,7134,82,10192,0.01236,0.46602,0.005792064871126557,0.006564805670133039,0.8822903772274462,0.15874844762824095,0.6903114139357684
19584,macitentan & selexipag,macitentan,selexipag,389086002,Hypoxia,Conditions associated with abnormal gas exchange,"Respiratory, thoracic and mediastinal disorders",25,5362,0.00466,82,10192,17,3749,0.01254,0.37161,0.00468427955780401,0.007152145643693108,0.6549474509002334,3.237035398040251,0.07199079543035372
19588,macitentan & treprostinil,macitentan,treprostinil,389086002,Hypoxia,Conditions associated with abnormal gas exchange,"Respiratory, thoracic and mediastinal disorders",9,2408,0.00374,82,10192,6,1280,0.0127,0.29449,0.003751563151313047,0.007730147575544624,0.48531585130167876,3.8882743557283965,0.048624360225432574
19589,epoprostenol & bosentan,epoprostenol,bosentan,389086002,Hypoxia,Conditions associated with abnormal gas exchange,"Respiratory, thoracic and mediastinal disorders",11,1036,0.01062,31,7134,36,6235,0.01009,1.05253,0.010731707317073172,0.005036836565929935,2.130644339279214,4.618478244770103,0.031629287004630746
