snomed_reaction,meddra_preferred_term_name,meddra_high_level_term,meddra_high_level_term_name
10810001,Lens disorder,Ocular disorders NEC,Eye disorders
63042009,Congenital tricuspid valve atresia,Cardiac valve disorders congenital,"Congenital, familial and genetic disorders"
186788009,Q fever,Coxiella infections,Infections and infestations
77365006,Dihydropyrimidine dehydrogenase deficiency,Pyrimidine metabolism disorders congenital,"Congenital, familial and genetic disorders"
193237003,Myotonia,Muscle tone abnormal,Nervous system disorders
88577008,Pelvic deformity,Trunk deformities,Musculoskeletal and connective tissue disorders
95509009,Strabismus congenital,Ocular disorders congenital NEC,"Congenital, familial and genetic disorders"
423459005,Corneal thinning,"Corneal structural change, deposit and degeneration",Eye disorders
26665006,Antisocial personality disorder,Personality disorders with dramatic behaviour (Cluster B),Psychiatric disorders
26665006,Psychopathic personality,Personality disorders with dramatic behaviour (Cluster B),Psychiatric disorders
7206008,Peak expiratory flow rate decreased,Respiratory and pulmonary function diagnostic procedures,Investigations
41075004,Cerebral fungal infection,Fungal infections NEC,Infections and infestations
84209002,Dissociative amnesia,Dissociative states,Psychiatric disorders
35999006,Anembryonic gestation,Abortion related conditions and complications,"Pregnancy, puerperium and perinatal conditions"
95396005,Injection site cyst,Injection site reactions,General disorders and administration site conditions
35991009,Aversion,Behaviour and socialisation disturbances,Psychiatric disorders
234059001,Venous stenosis,Non-site specific necrosis and vascular insufficiency NEC,Vascular disorders
51070004,Varicocele,Scrotal disorders NEC,Reproductive system and breast disorders
27717006,Scrotal abscess,Male reproductive tract infections,Infections and infestations
49416000,Induced abortion failed,Induced abortion complications,"Injury, poisoning and procedural complications"
24321005,Meningitis fungal,Fungal infections NEC,Infections and infestations
83628005,Chronic gastrointestinal bleeding,Non-site specific gastrointestinal haemorrhages,Gastrointestinal disorders
370977006,Frostbite,Conditions caused by cold,"Injury, poisoning and procedural complications"
240376003,Tuberculosis gastrointestinal,Tuberculous infections,Infections and infestations
60790007,Hypergastrinaemia,Gastrointestinal mucosal dystrophies and secretion disorders,Gastrointestinal disorders
22625005,Mediastinal haematoma,Mediastinal disorders,"Respiratory, thoracic and mediastinal disorders"
431481001,Post-traumatic pain,Non-site specific injuries NEC,"Injury, poisoning and procedural complications"
93030006,Asplenia,Lymphatic system disorders congenital,"Congenital, familial and genetic disorders"
193074007,Meningitis chemical,Chemical injuries,"Injury, poisoning and procedural complications"
309530007,Pulmonary hilum mass,Mediastinal disorders,"Respiratory, thoracic and mediastinal disorders"
266330004,Varicose vein ruptured,Varicose veins NEC,Vascular disorders
93665005,Adrenal gland cancer,Adrenal neoplasms malignant,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
92384009,Benign neoplasm of skin,Skin neoplasms benign,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
371374003,Retained products of conception,Abortion related conditions and complications,"Pregnancy, puerperium and perinatal conditions"
67372006,Eye infection toxoplasmal,Toxoplasma infections,Infections and infestations
92030004,Brain neoplasm benign,Nervous system neoplasms benign NEC,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
4127004,Prostatic obstruction,"Prostatic signs, symptoms and disorders NEC",Reproductive system and breast disorders
69771008,Congenital oesophageal anomaly,Oesophageal disorders congenital,"Congenital, familial and genetic disorders"
267204006,Genitourinary tract infection,Urinary tract infections,Infections and infestations
1518005,Splenitis,Spleen disorders,Blood and lymphatic system disorders
391987005,Pectus excavatum,Musculoskeletal and connective tissue disorders of trunk congenital (excl spine),"Congenital, familial and genetic disorders"
48713002,Renal amyloidosis,Nephropathies and tubular disorders NEC,Renal and urinary disorders
252986008,Tumour embolism,Oncologic complications and emergencies,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
251925007,Urinary bladder rupture,Bladder disorders NEC,Renal and urinary disorders
247233000,Optic disc haemorrhage,Optic nerve bleeding and vascular disorders,Eye disorders
94297009,Metastases to breast,Metastases to specified sites,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
66485003,Retinal scar,"Retinal structural change, deposit and degeneration",Eye disorders
267532001,Platelet function test abnormal,Platelet analyses,Investigations
14821001,Heterotaxia,Congenital disorders NEC,"Congenital, familial and genetic disorders"
287085006,Congenital genitourinary abnormality,Renal and urinary tract disorders congenital NEC,"Congenital, familial and genetic disorders"
5217008,Stiff person syndrome,Muscle tone abnormal,Nervous system disorders
402863005,Varicose ulceration,Varicose veins NEC,Vascular disorders
400080004,Porokeratosis,Skin and subcutaneous tissue disorders congenital NEC,"Congenital, familial and genetic disorders"
92264007,Benign pancreatic neoplasm,Gastrointestinal neoplasms benign NEC,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
86014007,Trifascicular block,Cardiac conduction disorders,Cardiac disorders
165839004,Rheumatoid factor positive,Autoimmunity analyses,Investigations
428103008,Complications of bone marrow transplant,Transplantation complications,"Injury, poisoning and procedural complications"
83077003,Body height increased,Physical examination procedures and organ system status,Investigations
190507007,Primary hyperaldosteronism,Adrenal cortical hyperfunctions,Endocrine disorders
36964004,Bone development abnormal,Bone disorders NEC,Musculoskeletal and connective tissue disorders
88174006,Basilar artery thrombosis,Central nervous system haemorrhages and cerebrovascular accidents,Nervous system disorders
58718002,Rheumatic fever,Arthropathies NEC,Musculoskeletal and connective tissue disorders
55941000,Cutaneous sarcoidosis,Granulomatous and deep cutaneous inflammatory conditions,Skin and subcutaneous tissue disorders
16726004,Chronic kidney disease-mineral and bone disorder,Metabolic bone disorders,Musculoskeletal and connective tissue disorders
75702008,Brucellosis,Brucella infections,Infections and infestations
239783001,Arthritis reactive,Spondyloarthropathies,Musculoskeletal and connective tissue disorders
758002,Uterine cyst,Uterine neoplasms,Reproductive system and breast disorders
69914001,Anal stenosis,Anal and rectal stenosis and obstruction,Gastrointestinal disorders
125637003,Uterine injury,Reproductive system and breast injuries,"Injury, poisoning and procedural complications"
19754005,Alopecia totalis,Alopecias,Skin and subcutaneous tissue disorders
31712002,Primary biliary cholangitis,Hepatic fibrosis and cirrhosis,Hepatobiliary disorders
74853008,Skin fibrosis,Dermal and epidermal conditions NEC,Skin and subcutaneous tissue disorders
271326004,Oral neoplasm,Lip and oral cavity neoplasms malignancy unspecified,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
277571004,B-cell type acute leukaemia,Leukaemias acute lymphocytic,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
200370007,Complication of delivery,Maternal complications of delivery NEC,"Pregnancy, puerperium and perinatal conditions"
102553006,Bone formation increased,Bone disorders NEC,Musculoskeletal and connective tissue disorders
69494008,Eustachian tube disorder,Eustachian tube disorders,Ear and labyrinth disorders
1384002,Cholesteatoma,Aural neoplasms benign,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
7687006,Ilium fracture,Pelvic fractures and dislocations,"Injury, poisoning and procedural complications"
42030000,Urogenital disorder,Genital and urinary tract disorders NEC,Renal and urinary disorders
233692000,Eosinophilic pneumonia chronic,Lower respiratory tract inflammatory and immunologic conditions,"Respiratory, thoracic and mediastinal disorders"
5277004,Cells in urine,Urinalysis NEC,Investigations
5277004,Cylindruria,Urinary abnormalities,Renal and urinary disorders
5277004,Urinary casts,Urinalysis NEC,Investigations
41545003,Whipple's disease,Bacterial infections NEC,Infections and infestations
68640004,Vulval ulceration,Vulvovaginal disorders NEC,Reproductive system and breast disorders
15733007,Tooth demineralisation,Dental disorders NEC,Gastrointestinal disorders
420079008,Relapsing fever,Borrelial infections,Infections and infestations
267386008,Acromegaly,Anterior pituitary hyperfunction,Endocrine disorders
254679001,Milia,Apocrine and eccrine gland disorders,Skin and subcutaneous tissue disorders
34255001,Gingival erosion,"Gingival disorders, signs and symptoms NEC",Gastrointestinal disorders
247803002,Seasonal affective disorder,Mood disorders NEC,Psychiatric disorders
87970004,Near drowning,Chest and respiratory tract injuries NEC,"Injury, poisoning and procedural complications"
48000002,Infantile vomiting,Nausea and vomiting symptoms,Gastrointestinal disorders
426508001,Pouchitis,Gastrointestinal inflammatory disorders NEC,Gastrointestinal disorders
87476004,Neonatal seizure,Seizures and seizure disorders NEC,Nervous system disorders
23238000,Immunodeficiency common variable,Primary immunodeficiency syndromes,Immune system disorders
230799003,Traumatic coma,Cerebral injuries NEC,"Injury, poisoning and procedural complications"
359789008,Takayasu's arteritis,Arterial infections and inflammations,Vascular disorders
399882002,Cystic lymphangioma,Lymphatic system disorders congenital,"Congenital, familial and genetic disorders"
19161004,Corneal neovascularisation,Conjunctival and corneal bleeding and vascular disorders,Eye disorders
73342002,Tracheal obstruction,Chest and respiratory tract injuries NEC,"Injury, poisoning and procedural complications"
165543009,Bandaemia,Leukocytoses NEC,Blood and lymphatic system disorders
27601005,Helminthic infection,Helminthic infections NEC,Infections and infestations
26609002,Neuralgic amyotrophy,Peripheral neuropathies NEC,Nervous system disorders
86075001,Haemophilia,Coagulation disorders congenital,"Congenital, familial and genetic disorders"
102949001,Excessive masturbation,Sexual desire disorders,Psychiatric disorders
127346000,Saccadic eye movement,Ocular nerve and muscle disorders,Eye disorders
297156001,Axillary vein thrombosis,Peripheral embolism and thrombosis,Vascular disorders
39302008,Retinal coloboma,Retinal disorders congenital,"Congenital, familial and genetic disorders"
419503008,Hyperhomocysteinaemia,Amino acid metabolism disorders NEC,Metabolism and nutrition disorders
7870007,Umbilical cord vascular disorder,Umbilical cord complications,"Pregnancy, puerperium and perinatal conditions"
302841002,B-cell small lymphocytic lymphoma,B-cell small lymphocytic lymphomas,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
65576009,Cervical polyp,Cervix neoplasms,Reproductive system and breast disorders
232347008,Allergy to animal,Allergic conditions NEC,Immune system disorders
43548008,Ovulation pain,Ovarian and fallopian tube disorders NEC,Reproductive system and breast disorders
429300008,Cytomegalovirus gastritis,Cytomegaloviral infections,Infections and infestations
204821009,Congenital genital malformation,Reproductive tract disorders congenital NEC,"Congenital, familial and genetic disorders"
93980002,Rectosigmoid cancer,Colorectal neoplasms malignant,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
95519003,Gastrointestinal mucosal necrosis,Gastrointestinal necrosis and gangrene (excl gangrenous hernia),Gastrointestinal disorders
94186002,Metastases to bladder,Metastases to specified sites,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
37831005,Gastrointestinal fistula,Gastrointestinal fistulae,Gastrointestinal disorders
312428002,Corneal infection,Eye and eyelid infections,Infections and infestations
84466009,Dependent personality disorder,Personality disorders with anxious behaviour (Cluster C),Psychiatric disorders
20897003,Breast atrophy,Breast disorders NEC,Reproductive system and breast disorders
25803005,Pancreatic fistula,Gastrointestinal fistulae,Gastrointestinal disorders
254658001,Thymoma,Mediastinal neoplasms malignancy unspecified NEC,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
165541006,Monocyte count abnormal,White blood cell analyses,Investigations
63542002,Chemical burns of eye,Chemical injuries,"Injury, poisoning and procedural complications"
413746000,Candida endophthalmitis,Candida infections,Infections and infestations
237256006,Cephalo-pelvic disproportion,Maternal complications of labour NEC,"Pregnancy, puerperium and perinatal conditions"
188725004,Lymphocytic leukaemia,Leukaemias lymphocytic NEC,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
129576003,Purple glove syndrome,Soft tissue disorders NEC,Musculoskeletal and connective tissue disorders
37869000,Chillblains,Conditions caused by cold,"Injury, poisoning and procedural complications"
77304007,Respiratory fume inhalation disorder,Chemical injuries,"Injury, poisoning and procedural complications"
38250004,Arrested labour,Failed labour,"Pregnancy, puerperium and perinatal conditions"
409791009,Moraxella infection,Moraxella infections,Infections and infestations
126847008,Rectal neoplasm,Colorectal and anal neoplasms malignancy unspecified,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
201144006,Androgenetic alopecia,Alopecias,Skin and subcutaneous tissue disorders
35517004,Anastomotic ulcer,Gastrointestinal and hepatobiliary procedural complications,"Injury, poisoning and procedural complications"
66789005,Jaundice hepatocellular,Cholestasis and jaundice,Hepatobiliary disorders
95346009,Mucocutaneous ulceration,Skin and subcutaneous tissue ulcerations,Skin and subcutaneous tissue disorders
9078005,Vocal cord polyp,Laryngeal and adjacent sites disorders NEC (excl infections and neoplasms),"Respiratory, thoracic and mediastinal disorders"
30124006,Kidney rupture,Renal and urinary tract injuries NEC,"Injury, poisoning and procedural complications"
84773003,Vascular malformation,Vascular anomalies congenital NEC,"Congenital, familial and genetic disorders"
373168002,Diffuse large B-cell lymphoma stage IV,Diffuse large B-cell lymphomas,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
95340003,Nail bed infection,Skin structures and soft tissue infections,Infections and infestations
192014006,Merycism,Eating disorders NEC,Psychiatric disorders
55668003,Adjustment disorder with mixed anxiety and depressed mood,Adjustment disorders,Psychiatric disorders
79974007,Cat scratch disease,Bartonella infections,Infections and infestations
111839008,Gastroenteritis Escherichia coli,Escherichia infections,Infections and infestations
88518009,Hepato-lenticular degeneration,Central nervous system disorders congenital NEC,"Congenital, familial and genetic disorders"
203357004,Hypertrophic osteoarthropathy,Bone disorders NEC,Musculoskeletal and connective tissue disorders
386702006,Victim of abuse,Crime victims,Social circumstances
45021001,Meningitis candida,Candida infections,Infections and infestations
52817008,Synovial rupture,Bone and joint injuries NEC,"Injury, poisoning and procedural complications"
128134005,Fallopian tube disorder,Ovarian and fallopian tube disorders NEC,Reproductive system and breast disorders
95386001,Injection site thrombosis,Injection site reactions,General disorders and administration site conditions
371436007,Disorder of orbit,Ocular disorders NEC,Eye disorders
17547005,Vocal cord thickening,Laryngeal and adjacent sites disorders NEC (excl infections and neoplasms),"Respiratory, thoracic and mediastinal disorders"
405754008,Spinal cord injury cervical,Spinal cord injuries NEC,"Injury, poisoning and procedural complications"
415822001,Gastroenteritis rotavirus,Rotaviral infections,Infections and infestations
134209002,Prolactin-producing pituitary tumour,Hormone secreting pituitary neoplasms,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
58283004,Pulse pressure decreased,Heart rate and pulse investigations,Investigations
26214006,Retinal artery thrombosis,Retinal bleeding and vascular disorders (excl retinopathy),Eye disorders
68716001,Abdominal transposition,Gastrointestinal tract disorders congenital NEC,"Congenital, familial and genetic disorders"
31611000,Dissociative identity disorder,Dissociative states,Psychiatric disorders
276819005,Carcinoid tumour of the caecum,Carcinoid tumours,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
276819005,Benign anorectal neoplasm,Lower gastrointestinal neoplasms benign,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
276819005,Large intestine benign neoplasm,Gastrointestinal neoplasms benign NEC,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
372109003,Spondyloarthropathy,Spondyloarthropathies,Musculoskeletal and connective tissue disorders
8004003,Teething,Dental disorders NEC,Gastrointestinal disorders
95631006,Somnolence neonatal,Disturbances in consciousness NEC,Nervous system disorders
357705009,Cotard's syndrome,Delusional symptoms,Psychiatric disorders
28978003,Progressive supranuclear palsy,Dementia (excl Alzheimer's type),Nervous system disorders
235132004,Salivary gland neoplasm,Salivary gland neoplasms unspecified malignancy,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
111496009,Syringomyelia,Central nervous system disorders congenital NEC,"Congenital, familial and genetic disorders"
21173002,Prostatic adenoma,Prostatic neoplasms benign,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
128105004,Von Willebrand's disease,Coagulation disorders congenital,"Congenital, familial and genetic disorders"
9733003,Duodenogastric reflux,Gastrointestinal atonic and hypomotility disorders NEC,Gastrointestinal disorders
237101004,Genital discharge,Reproductive tract signs and symptoms NEC,Reproductive system and breast disorders
30242009,Scarlet fever,Streptococcal infections,Infections and infestations
236376009,Renal cyst infection,Urinary tract infections,Infections and infestations
274134003,Leukoplakia,Skin preneoplastic conditions NEC,Skin and subcutaneous tissue disorders
128345004,Tracheal injury,Chest and respiratory tract injuries NEC,"Injury, poisoning and procedural complications"
55608001,Urticaria papular,Urticarias,Skin and subcutaneous tissue disorders
246992005,Anterior chamber flare,Chambers (anterior and posterior) and lens infections and inflammations,Eye disorders
52673003,Cough decreased,Coughing and associated symptoms,"Respiratory, thoracic and mediastinal disorders"
47916000,Dyscalculia,Cortical dysfunction NEC,Nervous system disorders
36558000,Foetal alcohol syndrome,Chemically-induced congenital syndromes,"Congenital, familial and genetic disorders"
193531003,Borderline glaucoma,Glaucomas (excl congenital),Eye disorders
56097005,Migraine without aura,Migraine headaches,Nervous system disorders
428217009,Disseminated cytomegaloviral infection,Cytomegaloviral infections,Infections and infestations
42116007,Vaginal prolapse,Pelvic prolapse conditions,Reproductive system and breast disorders
792004,Creutzfeldt-Jakob disease,Prion-associated disorders,Infections and infestations
165014009,Allergy test positive,Immunology analyses NEC,Investigations
95694000,Retinal depigmentation,"Retinal structural change, deposit and degeneration",Eye disorders
314558005,Keratitis fungal,Fungal infections NEC,Infections and infestations
197011006,Gastroenteritis radiation,Radiation injuries,"Injury, poisoning and procedural complications"
88233000,Parapsoriasis,Papulosquamous conditions,Skin and subcutaneous tissue disorders
87386002,Peau d'orange,Dermal and epidermal conditions NEC,Skin and subcutaneous tissue disorders
59292006,Hemiplegic migraine,Migraine headaches,Nervous system disorders
69850007,Cholangitis infective,Hepatobiliary and spleen infections,Infections and infestations
35708002,Perineal abscess,Muscle and soft tissue infections,Infections and infestations
37064009,Hyperproteinaemia,Protein metabolism disorders NEC,Metabolism and nutrition disorders
95828007,Deafness congenital,Hearing disorders congenital,"Congenital, familial and genetic disorders"
249279003,Urinary straining,Bladder and urethral symptoms,Renal and urinary disorders
199775005,Transverse presentation,Foetal position and presentation abnormalities,"Pregnancy, puerperium and perinatal conditions"
197006009,Superior mesenteric artery syndrome,Duodenal and small intestinal stenosis and obstruction,Gastrointestinal disorders
28119000,Renal hypertension,Renal hypertension and related conditions,Renal and urinary disorders
370967009,Retinoblastoma,Ocular neoplasms malignant (excl melanomas),"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
76641005,Intestinal prolapse,Gastrointestinal disorders NEC,Gastrointestinal disorders
8725005,Prostatic abscess,Male reproductive tract infections,Infections and infestations
50299009,Paraphilia,Paraphilias and paraphilic disorders,Psychiatric disorders
235924006,Biliary cyst,Structural and other bile duct disorders,Hepatobiliary disorders
111288001,Ventricular flutter,Ventricular arrhythmias and cardiac arrest,Cardiac disorders
40458008,Chest wall abscess,Muscle and soft tissue infections,Infections and infestations
37042000,Guttate psoriasis,Psoriatic conditions,Skin and subcutaneous tissue disorders
26158002,Uterine hypotonus,Maternal complications of labour NEC,"Pregnancy, puerperium and perinatal conditions"
233932001,Complications of transplanted heart,Transplantation complications,"Injury, poisoning and procedural complications"
76682005,Vitreous disorder,Ocular disorders NEC,Eye disorders
237793004,Hyperandrogenism,Endocrine abnormalities of gonadal function NEC,Endocrine disorders
80193009,Dumping syndrome,Gastrointestinal signs and symptoms NEC,Gastrointestinal disorders
42711005,Dental necrosis,Dental disorders NEC,Gastrointestinal disorders
33064008,Scleral disorder,"Scleral structural change, deposit and degeneration",Eye disorders
1767005,Miller Fisher syndrome,Acute polyneuropathies,Nervous system disorders
131136006,Immunoglobulins increased,Immunoglobulin analyses,Investigations
38727009,Thyroiditis subacute,Acute and chronic thyroiditis,Endocrine disorders
22421007,Bladder agenesis,Bladder disorders congenital,"Congenital, familial and genetic disorders"
90480005,Breath holding,Abnormal behaviour NEC,Psychiatric disorders
77945009,Congenital renal cyst,Renal disorders congenital,"Congenital, familial and genetic disorders"
123767004,Haemoglobinaemia,Haemolyses NEC,Blood and lymphatic system disorders
34923007,Self-induced vomiting,Abnormal food elimination,Psychiatric disorders
51036000,Peritoneal abscess,Abdominal and gastrointestinal infections,Infections and infestations
77165001,Bladder injury,Renal and urinary tract injuries NEC,"Injury, poisoning and procedural complications"
111214005,Arthritis fungal,Fungal infections NEC,Infections and infestations
127020005,Parathyroid tumour,Endocrine neoplasms malignant and unspecified NEC,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
208122008,Laryngeal injury,Site specific injuries NEC,"Injury, poisoning and procedural complications"
91502009,Spinocerebellar disorder,Nervous system disorders NEC,Nervous system disorders
234202005,Arteriovenous fistula occlusion,Cardiac and vascular procedural complications,"Injury, poisoning and procedural complications"
33184005,Echopraxia,Stereotypies and automatisms,Psychiatric disorders
73765005,Vagus nerve disorder,Vagus nerve disorders,Nervous system disorders
13959000,Gingivitis ulcerative,"Gingival disorders, signs and symptoms NEC",Gastrointestinal disorders
315288007,Necrotising herpetic retinopathy,Herpes viral infections,Infections and infestations
197866008,Bladder diverticulum,Bladder disorders NEC,Renal and urinary disorders
77489003,Pterygium,"Conjunctival structural change, deposit and degeneration",Eye disorders
282754004,Gingival injury,Abdominal and gastrointestinal injuries NEC,"Injury, poisoning and procedural complications"
31686000,Congenital intestinal malformation,Intestinal disorders congenital,"Congenital, familial and genetic disorders"
363228008,Ear neoplasm,Aural neoplasms malignant and unspecified,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
195382003,Spider naevus,Telangiectasia and related conditions,Skin and subcutaneous tissue disorders
25209001,Laryngeal dyspnoea,Laryngeal and adjacent sites disorders NEC (excl infections and neoplasms),"Respiratory, thoracic and mediastinal disorders"
19276002,Congenital cerebral cyst,Cerebral disorders congenital,"Congenital, familial and genetic disorders"
61277005,Accelerated idioventricular rhythm,Ventricular arrhythmias and cardiac arrest,Cardiac disorders
15628003,Gonorrhoea,Neisseria infections,Infections and infestations
206200000,Cephalhaematoma,Neonatal disorders due to birth trauma (excl intracranial haemorrhages),"Pregnancy, puerperium and perinatal conditions"
196592003,Acquired macroglossia,Tongue disorders,Gastrointestinal disorders
230190006,Encephalitis brain stem,Central nervous system and spinal infections,Infections and infestations
88981003,Pyometra,Female reproductive tract infections,Infections and infestations
419468003,Gardnerella infection,Gardnerella infections,Infections and infestations
419468003,Vaginitis gardnerella,Gardnerella infections,Infections and infestations
95623001,Coagulation disorder neonatal,Coagulopathies,Blood and lymphatic system disorders
206087008,Umbilical cord prolapse,Umbilical cord complications,"Pregnancy, puerperium and perinatal conditions"
85649008,Anaemia folate deficiency,Anaemia deficiencies,Blood and lymphatic system disorders
240370009,Gastroenteritis cryptosporidial,Cryptosporidia infections,Infections and infestations
32916005,Renal arteriosclerosis,Renal vascular and ischaemic conditions,Renal and urinary disorders
83225003,Bipolar II disorder,Bipolar disorders,Psychiatric disorders
93917007,Nasal cavity cancer,Paranasal sinus and nasal cavity neoplasms malignant and unspecified,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
232416001,Velopharyngeal incompetence,Pharyngeal disorders (excl infections and neoplasms),"Respiratory, thoracic and mediastinal disorders"
386777001,Antidiuretic hormone abnormality,Posterior pituitary disorders,Endocrine disorders
34911001,Micropenis,Male reproductive tract disorders congenital,"Congenital, familial and genetic disorders"
15203004,Sudden visual loss,Visual impairment and blindness (excl colour blindness),Eye disorders
363475005,Malignant neoplasm of spinal cord,Central nervous system neoplasms malignant NEC,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
268850004,Diarrhoea neonatal,Diarrhoea (excl infective),Gastrointestinal disorders
39011001,Haemosiderosis,Iron excess,Metabolism and nutrition disorders
70346000,Gingival oedema,"Gingival disorders, signs and symptoms NEC",Gastrointestinal disorders
264516005,Dactylitis,Musculoskeletal and connective tissue infections and inflammations NEC,Musculoskeletal and connective tissue disorders
63198006,Chondromalacia,Joint related disorders NEC,Musculoskeletal and connective tissue disorders
189336000,Breast cancer in situ,Breast and nipple neoplasms malignant,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
366354008,Metabolic function test abnormal,Metabolism tests NEC,Investigations
421895002,Diabetic vascular disorder,"Peripheral vasoconstriction, necrosis and vascular insufficiency",Vascular disorders
238748009,Sebaceous hyperplasia,Sebaceous gland disorders,Skin and subcutaneous tissue disorders
95390004,Injection site nerve damage,Injection site reactions,General disorders and administration site conditions
124134002,Glucose-6-phosphate dehydrogenase deficiency,Inborn errors of carbohydrate metabolism (excl glucose),"Congenital, familial and genetic disorders"
418279001,Nicotinic acid deficiency,Water soluble vitamin deficiencies,Metabolism and nutrition disorders
233791001,Bronchial fistula,Bronchial conditions NEC,"Respiratory, thoracic and mediastinal disorders"
94123008,Urethral cancer,Urinary tract neoplasms malignant NEC,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
47709007,Hypercalcaemia of malignancy,Ectopic endocrine disorders,Endocrine disorders
58949002,Tubo-ovarian abscess,Female reproductive tract infections,Infections and infestations
111591002,Adenoidal hypertrophy,Pharyngeal disorders (excl infections and neoplasms),"Respiratory, thoracic and mediastinal disorders"
54304004,Bulbar palsy,Mixed cranial nerve disorders,Nervous system disorders
54304004,Progressive bulbar palsy,Motor neurone diseases,Nervous system disorders
64917006,Pneumonia parainfluenzae viral,Parainfluenzae viral infections,Infections and infestations
432328008,Neuroblastoma,Nervous system neoplasms malignant NEC,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
17467004,Nasal turbinate hypertrophy,Nasal disorders NEC,"Respiratory, thoracic and mediastinal disorders"
61823004,Pancreatic injury,Abdominal and gastrointestinal injuries NEC,"Injury, poisoning and procedural complications"
93196000,Anaplastic large cell lymphoma T- and null-cell types,Anaplastic large cell lymphomas T- and null-cell types,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
93196000,Nodal marginal zone B-cell lymphoma,Nodal marginal zone B-cell lymphomas,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
89893000,Lid lag,Eyelid movement disorders,Eye disorders
195374003,Arterial insufficiency,Non-site specific necrosis and vascular insufficiency NEC,Vascular disorders
54822007,Jejunal ulcer,Intestinal ulcers and perforation NEC,Gastrointestinal disorders
44551007,Myositis ossificans,Muscle infections and inflammations,Musculoskeletal and connective tissue disorders
44551007,Calcification of muscle,Musculoskeletal and connective tissue conditions NEC,Musculoskeletal and connective tissue disorders
4287008,Chordee,Male reproductive tract disorders congenital,"Congenital, familial and genetic disorders"
14619009,Heterophoria,Ocular nerve and muscle disorders,Eye disorders
170627008,Reversible airways obstruction,Bronchospasm and obstruction,"Respiratory, thoracic and mediastinal disorders"
248052004,School refusal,"Infancy, childhood and adolescence psychiatric disorders NEC",Psychiatric disorders
61169001,Laryngeal obstruction,"Laryngeal spasm, oedema and obstruction","Respiratory, thoracic and mediastinal disorders"
302217008,Anterior chamber disorder,"Anterior chamber structural change, deposit and degeneration",Eye disorders
345121001,Hemianopia heteronymous,Neurologic visual problems NEC,Nervous system disorders
421092003,Allergic respiratory disease,Respiratory tract disorders NEC,"Respiratory, thoracic and mediastinal disorders"
36184004,Renal aneurysm,Renal vascular and ischaemic conditions,Renal and urinary disorders
21061004,Babesiosis,Babesia infections,Infections and infestations
269469005,Soft tissue sarcoma,Soft tissue sarcomas histology unspecified,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
20815007,Cloacal exstrophy,Reproductive tract disorders congenital NEC,"Congenital, familial and genetic disorders"
370501004,Nipple inflammation,Breast infections and inflammations,Reproductive system and breast disorders
268185002,Supravalvular aortic stenosis,Aortic valvular disorders,Cardiac disorders
51118003,Duodenal atresia,Intestinal disorders congenital,"Congenital, familial and genetic disorders"
198903000,Placenta praevia haemorrhage,Haemorrhagic complications of pregnancy,"Pregnancy, puerperium and perinatal conditions"
396325007,Skin degenerative disorder,Dermal and epidermal conditions NEC,Skin and subcutaneous tissue disorders
285308002,Lip squamous cell carcinoma,Lip and oral cavity neoplasms malignant,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
190293001,Thyroiditis acute,Acute and chronic thyroiditis,Endocrine disorders
126908007,Uterine neoplasm,Female reproductive neoplasms unspecified malignancy,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
95612000,Neonatal respiratory acidosis,Newborn respiratory disorders NEC,"Respiratory, thoracic and mediastinal disorders"
